2026-07-22 19:48:39  DEBUG    asyncio  Using selector: KqueueSelector
2026-07-22 19:48:39  DEBUG    mcp.client.streamable_http  Connecting to StreamableHTTP endpoint: http://127.0.0.1:8000/mcp/
2026-07-22 19:48:39  DEBUG    mcp.client.streamable_http  Sending client message: root=JSONRPCRequest(method='initialize', params={'protocolVersion': '2025-11-25', 'capabilities': {}, 'clientInfo': {'name': 'mcp', 'version': '0.1.0'}}, jsonrpc='2.0', id=0)
2026-07-22 19:48:39  DEBUG    httpcore.connection  connect_tcp.started host='127.0.0.1' port=8000 local_address=None timeout=30.0 socket_options=None
2026-07-22 19:48:39  DEBUG    httpcore.connection  connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x112049210>
2026-07-22 19:48:39  DEBUG    httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-07-22 19:48:39  DEBUG    httpcore.http11  send_request_headers.complete
2026-07-22 19:48:39  DEBUG    httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-07-22 19:48:39  DEBUG    httpcore.http11  send_request_body.complete
2026-07-22 19:48:39  DEBUG    httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-07-22 19:48:39  DEBUG    httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 307, b'Temporary Redirect', [(b'date', b'Wed, 22 Jul 2026 16:48:38 GMT'), (b'server', b'uvicorn'), (b'content-length', b'0'), (b'location', b'http://127.0.0.1:8000/mcp')])
2026-07-22 19:48:39  INFO     httpx  HTTP Request: POST http://127.0.0.1:8000/mcp/ "HTTP/1.1 307 Temporary Redirect"
2026-07-22 19:48:39  DEBUG    httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-07-22 19:48:39  DEBUG    httpcore.http11  receive_response_body.complete
2026-07-22 19:48:39  DEBUG    httpcore.http11  response_closed.started
2026-07-22 19:48:39  DEBUG    httpcore.http11  response_closed.complete
2026-07-22 19:48:39  DEBUG    httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-07-22 19:48:39  DEBUG    httpcore.http11  send_request_headers.complete
2026-07-22 19:48:39  DEBUG    httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-07-22 19:48:39  DEBUG    httpcore.http11  send_request_body.complete
2026-07-22 19:48:39  DEBUG    httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
